Ambiente;7521
Azione per il clima;6760
Ricerca e innovazione;6760
Imprese e industria;5829
Economia e società digitali;5655
Energia;5231
Mercato unico;4842
Concorrenza;4577
Commercio;4465
Consumatori;4158
Istruzione e formazione;4082
Cooperazione internazionale e sviluppo;4027
Salute pubblica;3901
Economia, finanze e l'euro;3749
Trasporti;3662
Occupazione e affari sociali;3511
Fiscalità;3384
Giustizia e diritti fondamentali;3298
Agricoltura e sviluppo rurale;3185
Sicurezza alimentare;2956
Reti Transeuropee;2880
Relazioni esterne;2741
Affari istituzionali;2733
Politica regionale;2718
Comunicazione;2386
Gioventù;2333
Affari esteri e politica di sicurezza;2305
Servizi bancari e finanziari;2267
Cultura e media;2213
Dogane;2077
Cultura;1966
Bilancio;1812
Frontiere e sicurezza;1651
Affari marittimi e pesca;1626
Aiuti umanitari e protezione civile;1621
Migrazione e asilo;1422
Politica europea di vicinato;1353
Allargamento;1317
Prevenzione delle frodi;1305
Sport;879
Tutti i settori di interesse;8
